,val_auroc,val_aurocs_epoch,test_auroc,model_path,final_train_loss,train_loss_history,val_loss_history,val_No Finding,test_No Finding,val_Atelectasis,test_Atelectasis,val_Cardiomegaly,test_Cardiomegaly,val_Effusion,test_Effusion,val_Infiltration,test_Infiltration,val_Mass,test_Mass,val_Nodule,test_Nodule,val_Pneumonia,test_Pneumonia,val_Pneumothorax,test_Pneumothorax,val_Consolidation,test_Consolidation,val_Edema,test_Edema,val_Emphysema,test_Emphysema,val_Fibrosis,test_Fibrosis,val_Pleural_Thickening,test_Pleural_Thickening,val_Hernia,test_Hernia
coatnet_2_rw_224.sw_in12k_ft_in1k,0.8100733412333044,"[0.7672640224257423, 0.7901022858726269, 0.8027616487624705, 0.8150555488454939, 0.8199999675913848, 0.8241469545922746, 0.8232174939362527, 0.824171440146808, 0.8247924053452266, 0.8347693861119775, 0.7556717702903814, 0.8100733412333044]",0.8194151812035049,/student/csc490_project/shared/training_gamma/training_gamma_1.2/coatnet_2_rw_224.sw_in12k_ft_in1k.pt,0.18329633071458315,"[0.1997821568973302, 0.1871876567390149, 0.18233351557311125, 0.17903505791493549, 0.17650830835800588, 0.17452107934826394, 0.1726493691109363, 0.1709532242018457, 0.1694712277910695, 0.16789862765756444, 0.1929869474828001, 0.18329633071458315]","[0.1898340391655734, 0.1827909772576721, 0.1782858256023204, 0.1754048604214954, 0.17820706298618122, 0.17432656012432174, 0.1753572521915356, 0.17408324597771604, 0.1740273267144424, 0.17275329368313513, 0.18809606555069602, 0.17637318792904533]",0.7827129033495249,0.7845962641800359,0.8122832387971213,0.8031363920343813,0.8612155676493429,0.8719239059576984,0.8801169590643275,0.8791509578661175,0.7073882174700412,0.7107671749727523,0.849628029301238,0.8402054409967884,0.741288726094638,0.7551160810683838,0.6826485678084041,0.762549141354442,0.8741687101962761,0.862117814730884,0.7797695269021434,0.7953376663814472,0.8793486806915662,0.8914083545647857,0.9027590569598767,0.9118788731524291,0.7682432771796546,0.7768080653587657,0.7839879810765886,0.8042258920831366,0.8455406759588229,0.842005693350524
convnext_large.fb_in22k,0.8246733560817565,"[0.813276205825396, 0.8321264672038086, 0.8315283092771218, 0.8246733560817565]",0.8354988298517395,/student/csc490_project/shared/training_gamma/training_gamma_1.2/convnext_large.fb_in22k.pt,0.1532397728731356,"[0.1853202522126579, 0.1721720896487132, 0.16425397187713686, 0.1532397728731356]","[0.17944962808559106, 0.17170780347281156, 0.17354269414262977, 0.17502302262758793]",0.7854409977038405,0.7869400821627303,0.825143128833297,0.8219702852453393,0.89031390778076,0.8982504300361854,0.8766077021068942,0.8807054172550359,0.7196193885531961,0.7197690659231648,0.8637648503838073,0.8666025602038698,0.7700064490127564,0.7827132939585782,0.6878837154785891,0.7439773617733388,0.8902971548794213,0.8764658876309842,0.7854903041999817,0.8067462175726269,0.8687787297961417,0.8928442280880644,0.9209806863495389,0.9181926094724385,0.8018086427687915,0.8235781950080578,0.7803581525522455,0.8182942592248131,0.903606530827083,0.8954325542208663
densenet121,0.8245606666957255,"[0.8027574844545714, 0.8164465047894893, 0.8193559181427968, 0.8242202660036835, 0.8246800862451652, 0.8243887963524078, 0.8245606666957255]",0.8311966672838476,/student/csc490_project/shared/training_gamma/training_gamma_1.2/densenet121.pt,0.16408587914732534,"[0.1933830983679348, 0.1803058745082074, 0.1758296739204022, 0.1724618488150399, 0.16980295752107008, 0.16673459559073292, 0.16408587914732534]","[0.17836539751611824, 0.17579463165968137, 0.17538532760903933, 0.17596783500359675, 0.1737670644543805, 0.17591761758139488, 0.17479525796993267]",0.7822491858388486,0.7841628612981156,0.816632904344188,0.8177377144157526,0.8833592325751918,0.8799903825053621,0.8784876362352124,0.878166245551637,0.7200410075439663,0.7170813994872536,0.8370947365383788,0.8548257729388349,0.7593773314445627,0.7641862764825218,0.7242337559829201,0.7684437796342289,0.8866198424296421,0.8816915513924646,0.7930222916602845,0.8030655375570336,0.8791586568430705,0.8999437261175423,0.9238221348877087,0.9160745681414721,0.7893785865753861,0.8240468948959144,0.8000160536447457,0.8051784345991838,0.8949166438917737,0.8733548642403972
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,0.8287720844910066,"[0.8071967636559589, 0.8159115962864883, 0.8271714253520469, 0.8293760144337752, 0.8343900928404652, 0.8327900594611596, 0.8287720844910066]",0.8392573065848671,/student/csc490_project/shared/training_gamma/training_gamma_1.2/maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k.pt,0.15553262338678284,"[0.1885429985987825, 0.17740757271223437, 0.1727397783757831, 0.16874866636727398, 0.164588191188357, 0.16034480724635164, 0.15553262338678284]","[0.17725034245441473, 0.17763601792543088, 0.17410527648360924, 0.17307024895007786, 0.17219201261773273, 0.1718690693188935, 0.17532263103693854]",0.7822681287383463,0.7845478003174461,0.8183746847012672,0.8185489060109682,0.8943161441597395,0.8981129568149071,0.8792210966293376,0.8781958118477334,0.7342307780555548,0.717715238707574,0.8466826259895202,0.8580828003294548,0.7683552877527444,0.7786126987869645,0.7247953270168338,0.7793460215425072,0.8745559052801475,0.871399287324466,0.80103370809464,0.8072556898838609,0.9035229315552196,0.9015086269453582,0.9226860589565509,0.9319620626142032,0.8084325010875182,0.8274604015090645,0.7825116140306013,0.8271398011871978,0.8905944753170771,0.9089714949513001
swin_large_patch4_window7_224,0.8230576903547698,"[0.7958337085761703, 0.807216841183169, 0.8149827142467863, 0.8210268978909574, 0.8159671281326087, 0.8225604207199985, 0.8232031214862786, 0.8160026354597759, 0.8230576903547698]",0.8259795213553901,/student/csc490_project/shared/training_gamma/training_gamma_1.2/swin_large_patch4_window7_224.pt,0.15594851783878072,"[0.19228523142817544, 0.18145997345417253, 0.17695026405503958, 0.17359776122540962, 0.17053653580038164, 0.1674912861669512, 0.1640263506362775, 0.16015959384707296, 0.15594851783878072]","[0.1824769209041585, 0.1779912072342149, 0.1789506252186351, 0.176307970709384, 0.17526659445274015, 0.17524589041551186, 0.1766429058097433, 0.17782502730788532, 0.1807858573765559]",0.7788174528136709,0.778729272796277,0.814303551905704,0.8081941457850251,0.886251127719514,0.878517391931086,0.8785133262568628,0.880065802748592,0.7281154005594404,0.7189139295093517,0.8528036908201979,0.8357205794870212,0.7490343503146529,0.7643996635151498,0.7082731208512735,0.7752149934256838,0.8658344747955431,0.8633394537341834,0.7865179875215716,0.8034664711809805,0.8850780505362894,0.9031445021540444,0.9239566370713912,0.9082960039471203,0.794211338622091,0.8321297194012081,0.7760533606103227,0.8171895974565148,0.9181014849230209,0.8223712932586135
vgg19.tv_in1k,0.8020815290467591,"[0.7377297518141801, 0.7638103272427557, 0.7745412567187748, 0.788306743321046, 0.7905293029014998, 0.7974933943082401, 0.802896575658803, 0.8076342773970147, 0.8082508771544461, 0.8040623914604365, 0.8020815290467591]",0.8118752226708298,/student/csc490_project/shared/training_gamma/training_gamma_1.2/vgg19.tv_in1k.pt,0.17208987500942577,"[0.20096200149566903, 0.19263004133689815, 0.18811268009457405, 0.18474002505342166, 0.1819410307787177, 0.17992139879038663, 0.17819133586651548, 0.17638021724949765, 0.1746614048984356, 0.17344715797637658, 0.17208987500942577]","[0.19370549712275956, 0.18704600617571107, 0.18597412472428365, 0.18165528146430937, 0.18176700102793442, 0.17911536223255098, 0.17675079233662852, 0.1766637214134599, 0.17744539768792428, 0.17771505150229258, 0.17985348500917817]",0.7780735104561136,0.7814239220381601,0.8095893455646768,0.795484263264156,0.849875586470206,0.8566468020945482,0.8682921092749116,0.8757026271064167,0.7050530557539252,0.7100314792182618,0.8401511293882266,0.8383482674272449,0.7424686133455332,0.7573479007517427,0.6924207940035787,0.7513444974964472,0.8650914835122897,0.8580346664808741,0.7899114664706062,0.792342591934254,0.8778350251153213,0.8905237029150995,0.8982595273578879,0.9162333247172965,0.7414954375313381,0.7706172601481944,0.7797954225802328,0.7926713116312435,0.7929104288765398,0.7913757228385053
