,val_auroc,val_aurocs_epoch,test_auroc,model_path,final_train_loss,train_loss_history,val_loss_history,val_No Finding,test_No Finding,val_Atelectasis,test_Atelectasis,val_Cardiomegaly,test_Cardiomegaly,val_Effusion,test_Effusion,val_Infiltration,test_Infiltration,val_Mass,test_Mass,val_Nodule,test_Nodule,val_Pneumonia,test_Pneumonia,val_Pneumothorax,test_Pneumothorax,val_Consolidation,test_Consolidation,val_Edema,test_Edema,val_Emphysema,test_Emphysema,val_Fibrosis,test_Fibrosis,val_Pleural_Thickening,test_Pleural_Thickening,val_Hernia,test_Hernia
coatnet_2_rw_224.sw_in12k_ft_in1k,0.5366181016943916,"[0.7791121972597476, 0.795467006179361, 0.8182257939724572, 0.8187748310618947, 0.8277600041037071, 0.8206307622153155, 0.8318547878521886, 0.8305368387341115, 0.5366181016943916]",0.544943007319201,/student/csc490_project/shared/training_gamma/training_gamma_1.0/coatnet_2_rw_224.sw_in12k_ft_in1k.pt,0.1996765205258034,"[0.1962264575987933, 0.18489799024310055, 0.18043265758703153, 0.17747223642995444, 0.17491886276691182, 0.17226554021784446, 0.17108158882162192, 0.16911674431275303, 0.1996765205258034]","[0.18901561200889477, 0.18319529202647594, 0.175186206172437, 0.175523137181001, 0.1742134544440697, 0.1757456950280209, 0.1715667219128633, 0.1747250152253654, 0.2165754000049864]",0.5378782618555704,0.5505854934500843,0.5292736255504643,0.5420196677825477,0.5624838830475447,0.5625118650088582,0.5600630239942336,0.5904021161826254,0.5543865315884937,0.5601812210433279,0.4780274322857255,0.5066140970221378,0.5015499192171178,0.5102581453089793,0.5238867985554938,0.5318923239876217,0.5805894004304943,0.5562230799514432,0.5595797976084715,0.5589692134561492,0.6005294024202402,0.6352227219143233,0.5002121825892317,0.5061933353329041,0.48104781419485776,0.5149791779479047,0.5139642557786018,0.5059222849056239,0.565799196299333,0.5421703664934833
convnext_large.fb_in22k,0.8122581188641443,"[0.8136613114129172, 0.830650739343445, 0.8316442602880343, 0.8248440598124148, 0.8122581188641443]",0.8207137015702208,/student/csc490_project/shared/training_gamma/training_gamma_1.0/convnext_large.fb_in22k.pt,0.13535180361714305,"[0.18604164442683502, 0.17263030678987867, 0.16444177901281454, 0.15318059460752137, 0.13535180361714305]","[0.18651101681901966, 0.17177452046294198, 0.1716631302572137, 0.17780906168018404, 0.18789858515320215]",0.7672817606224476,0.7735980637078643,0.8113216406830944,0.8046750272962451,0.8890817317287015,0.8948108242987659,0.8707432250685944,0.8722202450709345,0.6912142579380935,0.6876688960113138,0.8393360038585669,0.8521022978624775,0.7604115566049205,0.7725839195521099,0.7107493746309358,0.7371757666715367,0.848719480631225,0.8380821861004321,0.7858164588630537,0.7966068849862581,0.8746493607557521,0.8942024792343756,0.8994085500233041,0.8845292555093865,0.7588893438540963,0.7958401866374177,0.7698437255821221,0.8007042351155164,0.9064053121172554,0.9059052554986788
densenet121,0.821243254613105,"[0.7991210959936943, 0.815056900616304, 0.8191361964689681, 0.8198313868132946, 0.8220636836345251, 0.8238768606828483, 0.8192876960709243, 0.821243254613105]",0.8326045119859887,/student/csc490_project/shared/training_gamma/training_gamma_1.0/densenet121.pt,0.16209769772698845,"[0.194563990857119, 0.18078555368432184, 0.1764322275841018, 0.17290132281832338, 0.17004144817015263, 0.1674909132404056, 0.1647455894183822, 0.16209769772698845]","[0.17954448943816906, 0.17542681018388723, 0.17442282722439878, 0.17459382420557357, 0.1739715677631889, 0.17295379409848086, 0.1737300960352471, 0.1743497110261625]",0.7816656244736926,0.7839302836261137,0.8183940824415926,0.813668912634161,0.8934005143970635,0.8908218887613992,0.8783818344500477,0.8814133981353764,0.7225979160026549,0.7176763453623938,0.8479959748668535,0.8526540809367071,0.7597078068720082,0.761986275566555,0.7096440366645796,0.7743546046777257,0.8837405126795982,0.8673825701487404,0.7987952496196224,0.8025377507214255,0.8909275677349558,0.90832357201512,0.9121341109046027,0.9113976756208424,0.7682254001683844,0.8157777281685173,0.7802081291110826,0.8098833161894294,0.8728300588098348,0.8972592772253213
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,0.8110957348335629,"[0.8003632792736076, 0.8173032407831057, 0.8196795172401664, 0.8226312769226921, 0.8268171536229088, 0.8305757681825442, 0.8293339070767295, 0.8307449116297836, 0.8221836392964317, 0.8110957348335629]",0.818271612529849,/student/csc490_project/shared/training_gamma/training_gamma_1.0/maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k.pt,0.14193694826397227,"[0.19024839112459402, 0.17870716317821808, 0.1743077592909094, 0.17018107908921756, 0.16649697951790762, 0.1630381074620456, 0.15886998113880796, 0.15414952482134708, 0.14846690032343432, 0.14193694826397227]","[0.1813069373791561, 0.1743829833603529, 0.1795120117860998, 0.17175764461091264, 0.17275292442320997, 0.1717369187742385, 0.17204916905774192, 0.1740137334861576, 0.17743216400294629, 0.18444495409629633]",0.768999177918182,0.7677764879182903,0.8096339945484661,0.8023823974845343,0.870649917742812,0.8776009708231789,0.862205917073761,0.8619594394084703,0.7092862756687978,0.7025150275079736,0.8549829056438097,0.8552009029748364,0.7577197665645438,0.7684768793718949,0.7077352886193216,0.7526514749047056,0.8715855014176337,0.8520722981875921,0.7790793329861428,0.7885885802688583,0.856287426654816,0.8860717927398264,0.9263582562762889,0.9106597242543063,0.7830714067420168,0.8107222729077167,0.7707349159669835,0.8060071956899288,0.8381059386798659,0.8313887435056232
swin_large_patch4_window7_224,0.8177115338893886,"[0.7932444369282519, 0.7993133764908412, 0.8213299315654353, 0.8190160697406337, 0.8232758953160507, 0.822779695887759, 0.823507141853384, 0.8186629822736955, 0.8177115338893886]",0.8305920513674159,/student/csc490_project/shared/training_gamma/training_gamma_1.0/swin_large_patch4_window7_224.pt,0.1534858834657182,"[0.19209994357760724, 0.18046586912473647, 0.17599988563697996, 0.17275796806727484, 0.1696811900224264, 0.16611702838549164, 0.16226533762050596, 0.15818928044773942, 0.1534858834657182]","[0.17956037136596129, 0.17947276655671207, 0.1734934311582122, 0.17528176179350635, 0.1746698407548328, 0.17351318907729069, 0.1777051781631768, 0.17786420091477678, 0.178436977301486]",0.7798164906611171,0.7839988716680284,0.8133276832073848,0.8116326325472307,0.8942615801004128,0.889151255293805,0.8769329172289699,0.880692080581166,0.719293292150635,0.7240835924149632,0.8473723349805251,0.8273610574022332,0.7548853135974305,0.7623876758730198,0.7077501253705478,0.7760391072211229,0.8691110611504551,0.8716759721303211,0.786387280580829,0.8003904646789565,0.8883798405810506,0.902127077849907,0.9251790245642704,0.9224858445016679,0.7758937867170402,0.8074641283535067,0.779603205046243,0.8186054297458736,0.8474790724039153,0.8807855802494351
vgg19.tv_in1k,0.8068153822601498,"[0.7074588252422704, 0.7466289459349466, 0.7730044359863419, 0.7816504568007989, 0.7882592184926219, 0.7946018480500487, 0.79842457303728, 0.7924243164902262, 0.8031149706014725, 0.7957487002853326, 0.804119283952132, 0.8042722672998621, 0.807742648340244, 0.8048298132995615, 0.8084547801434032, 0.803946386983259, 0.8068153822601498]",0.8153516304534104,/student/csc490_project/shared/training_gamma/training_gamma_1.0/vgg19.tv_in1k.pt,0.16349876968500515,"[0.20151606642648698, 0.19311216963697375, 0.18855137585442724, 0.18538215698114013, 0.18266110286661766, 0.18044921840896935, 0.17861437627333937, 0.1768255327033197, 0.17521639001230158, 0.17359180658283394, 0.17236385623492845, 0.1710180656075841, 0.16929724329204215, 0.16826793564998402, 0.16649028536507754, 0.1650140029188942, 0.16349876968500515]","[0.1941505840270195, 0.18894071348531302, 0.1846885003723464, 0.18167699243721747, 0.18090807749933108, 0.17879662033289584, 0.1772386670643247, 0.18000792511901276, 0.178185376804322, 0.17853685634665536, 0.1765103944182006, 0.176829892646543, 0.17607832105754506, 0.1763111276519593, 0.17774985044880576, 0.18210142672191873, 0.17871164938781497]",0.7773831118047947,0.7801226959677283,0.8036190287218155,0.7955849713326262,0.8849359843991638,0.8774828838197638,0.8745746143455053,0.8802728850864509,0.7120320299661551,0.7040166880336618,0.8390623007065623,0.828247556472994,0.7418755894978036,0.7533094842161185,0.6834868442526877,0.7623215305539692,0.8649674492448307,0.8605354438605217,0.7827840578378212,0.7920838594366383,0.8701099021527993,0.8834444297751572,0.91569194540506,0.9131203749764277,0.7646580851337328,0.8002138476870656,0.7687276421031695,0.7967477224795412,0.8183221483303472,0.8027700831024931
