,val_auroc,val_aurocs_epoch,test_auroc,model_path,final_train_loss,train_loss_history,val_loss_history,val_No Finding,test_No Finding,val_Atelectasis,test_Atelectasis,val_Cardiomegaly,test_Cardiomegaly,val_Effusion,test_Effusion,val_Infiltration,test_Infiltration,val_Mass,test_Mass,val_Nodule,test_Nodule,val_Pneumonia,test_Pneumonia,val_Pneumothorax,test_Pneumothorax,val_Consolidation,test_Consolidation,val_Edema,test_Edema,val_Emphysema,test_Emphysema,val_Fibrosis,test_Fibrosis,val_Pleural_Thickening,test_Pleural_Thickening,val_Hernia,test_Hernia
coatnet_2_rw_224.sw_in12k_ft_in1k,0.8234585995658242,"[0.759613441903241, 0.7824339666940431, 0.7959442076203922, 0.8028393188763071, 0.8124520715002839, 0.814412154910897, 0.820407242512827, 0.8176517223776315, 0.8230785654613988, 0.8243601211620176, 0.8201903327314234, 0.8234585995658242]",0.8302482871956828,/student/csc490_project/shared/training_gamma/training_gamma_0.6/coatnet_2_rw_224.sw_in12k_ft_in1k.pt,0.1642677161357994,"[0.19975975258351583, 0.1876255158122962, 0.1824129980860081, 0.17921454598824305, 0.17639261268654732, 0.1743185787272405, 0.17238390844436438, 0.17080554348091043, 0.16916231643105667, 0.16752568093408657, 0.16573822866913265, 0.1642677161357994]","[0.1890996137179088, 0.1889027624802534, 0.18220590670094933, 0.1798911995611825, 0.17881546981719343, 0.1784802514485755, 0.1771789760204292, 0.17698412220437773, 0.17462129729561682, 0.17458942726925883, 0.178021390015411, 0.17480837322804038]",0.7831364338991191,0.7833802013613206,0.817891621150339,0.811329445043167,0.8941446037266505,0.895417749667136,0.8779552567785486,0.8806004614525548,0.7187226828877138,0.7171668180793097,0.8487132263134063,0.8484755302352236,0.7620474788704859,0.772702884438669,0.7235534909391961,0.7686742127422204,0.8733905903267842,0.8757430383697967,0.7920734409623299,0.802396162530984,0.8898633336416613,0.8991436257421644,0.9212968024443433,0.9250033935805647,0.7751357163105596,0.8155744736985332,0.7964680560883093,0.7992411945096889,0.8774862591479153,0.8588751164839092
convnext_large.fb_in22k,0.8072852637107667,"[0.8142021469351256, 0.8240564644478684, 0.8267741002895134, 0.825561734702367, 0.8072852637107667]",0.8217154897541744,/student/csc490_project/shared/training_gamma/training_gamma_0.6/convnext_large.fb_in22k.pt,0.1388963405141319,"[0.18604027104329288, 0.17313163419352556, 0.1653246413318183, 0.15503071759774434, 0.1388963405141319]","[0.1764826612644504, 0.17380725635421398, 0.17336979455877702, 0.17452346485075648, 0.19085313034038123]",0.7672797095866746,0.7723740818002707,0.7897752374428685,0.789381329048359,0.8676739341508973,0.8865850348694512,0.8682159846027573,0.8687650913198266,0.6978350967464899,0.7011204023068918,0.8421498427620886,0.8418631730781451,0.759785136662978,0.7729088292407345,0.6892991415455741,0.7307375851672798,0.834469938256956,0.8482061086304679,0.7692667136394735,0.7665128606208305,0.8557822045179427,0.8866986706816818,0.9166705027360765,0.916401936901348,0.7934187911224465,0.8161352684634853,0.7727154811121056,0.8160987034433251,0.8849412407761684,0.9119432707405185
densenet121,0.8105819731554764,"[0.7821943114352276, 0.8068936491351969, 0.8072335155649893, 0.8156174262214427, 0.815939738245371, 0.8150472592717174, 0.8105819731554764]",0.8192377955698333,/student/csc490_project/shared/training_gamma/training_gamma_0.6/densenet121.pt,0.1643459693468138,"[0.19318600104803718, 0.1802530277187262, 0.1762577796915198, 0.1728693864543021, 0.1699112167718207, 0.1669797590244713, 0.1643459693468138]","[0.18354882200811665, 0.179398026544774, 0.1784720548785963, 0.17698576550681663, 0.17608036441988376, 0.1753053946182305, 0.17822264361216925]",0.7803303668352518,0.7786301580086151,0.8141273486433631,0.8083715376890314,0.8509904124220687,0.8773973350948784,0.8743824118795264,0.877937120402873,0.7025235795755469,0.705065005211918,0.8299517318466528,0.8224759701941448,0.7523655296539482,0.7563282597634678,0.7163977258227721,0.7555038316975018,0.8691799305269322,0.8603593334743933,0.7740977647070837,0.7963832614563848,0.8843918533056107,0.9052787898025358,0.9079343341638424,0.9035732879284445,0.7508866146303758,0.8006315033358641,0.7915746778615977,0.7973454805370156,0.8595953154575731,0.8432860589504321
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,0.8147586228819652,"[0.7916235978329251, 0.8114326647325728, 0.8203059049310394, 0.8247352270571128, 0.8251513796711846, 0.8293119838068114, 0.8244143793293544, 0.8147586228819652]",0.8243339423080581,/student/csc490_project/shared/training_gamma/training_gamma_0.6/maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k.pt,0.15120922348999638,"[0.18900940348734943, 0.1776400459309419, 0.17289970260249768, 0.16887200703708136, 0.16524501625766477, 0.16124636202414588, 0.1568458545907605, 0.15120922348999638]","[0.18431773643160976, 0.17798734164991697, 0.17508922318039938, 0.1734483333163743, 0.17390696883071646, 0.17527536523994058, 0.1755894443567106, 0.1830841879533647]",0.7750085293073001,0.7761533978707432,0.7977991939085284,0.8040563875066241,0.8839979310504628,0.8850256509425403,0.8752805761404561,0.876674675948846,0.7058670484875511,0.6972804095708968,0.8545551778668827,0.8467500757975995,0.7723720597251859,0.7714480837382793,0.6602124326040576,0.7433415955002458,0.8694826435293317,0.8591519456065828,0.7961270920769129,0.800215459223827,0.8817224706719807,0.895445748138327,0.9172757625626479,0.9211050433077778,0.7801412794662095,0.812131755020862,0.7707055079628918,0.7977589624876491,0.8808316378690798,0.8784699439600699
swin_large_patch4_window7_224,0.8182408103017945,"[0.7963755528020529, 0.8072547721580107, 0.8192527330475406, 0.8153595653334708, 0.8182408103017945]",0.8201024837868564,/student/csc490_project/shared/training_gamma/training_gamma_0.6/swin_large_patch4_window7_224.pt,0.16944745389472057,"[0.19170323318642815, 0.1802868186473483, 0.1765378981010943, 0.1723891604298014, 0.16944745389472057]","[0.181504413940359, 0.17672193762683852, 0.17476219594543582, 0.177115905853963, 0.17584102553705316]",0.7825008295856074,0.7833499349801547,0.8126904631650583,0.8038670677078263,0.8980339747226389,0.8954163419542209,0.8772828769798992,0.8813555391682463,0.7144257118988809,0.712827327161818,0.8457711018654439,0.8382603664186073,0.7486240322833234,0.7648642027454186,0.7253858297156388,0.7644976126598755,0.8835920185076476,0.8758865393868726,0.785018533835738,0.8018587403431949,0.872624953248101,0.8906369997499979,0.9148752222522714,0.9181087351982988,0.7773680016821416,0.7853813450525985,0.7948479165778745,0.8137724021273074,0.8405706882066543,0.77145410214841
vgg19.tv_in1k,0.7989878792262319,"[0.7446206857562667, 0.7682987615261024, 0.7780860267351652, 0.7800354387804969, 0.7908659028217933, 0.792815228135279, 0.8005207961049243, 0.7909442989834723, 0.8025826885407753, 0.7989627666775115, 0.7989878792262319]",0.8088306615060048,/student/csc490_project/shared/training_gamma/training_gamma_0.6/vgg19.tv_in1k.pt,0.17124983865192267,"[0.20068800790250543, 0.19159181328581237, 0.18689263029766034, 0.18340102718249568, 0.18086726814811308, 0.17895937454621724, 0.1772424600458121, 0.17553374639189825, 0.1739984294376904, 0.172601714065465, 0.17124983865192267]","[0.19333224415475891, 0.18701134690863275, 0.1838424701925887, 0.1826342201607605, 0.1797004510773086, 0.17953999935335285, 0.17862228352879717, 0.1799048203623009, 0.17777849358593134, 0.18069622238426533, 0.1786029693605595]",0.7776620693450194,0.7774446259412561,0.808452185082813,0.7926852611562559,0.8886269066588334,0.8771521919457586,0.8758713233263095,0.8798060560143942,0.6811451547459986,0.6922612321115422,0.8138832501540245,0.8141350760124351,0.7308667940041366,0.7381866316412766,0.7011336761611983,0.7524445333563544,0.8696727715812687,0.8654420652745549,0.7747419048494318,0.7847451535159229,0.8639135160243391,0.8919044261608946,0.9045232293183113,0.903468991208391,0.7522825112603889,0.7616048770002962,0.7666337069712598,0.8029633985674604,0.7754091889101455,0.7982154026832786
