,val_auroc,val_aurocs_epoch,test_auroc,model_path,final_train_loss,train_loss_history,val_loss_history,val_No Finding,test_No Finding,val_Atelectasis,test_Atelectasis,val_Cardiomegaly,test_Cardiomegaly,val_Effusion,test_Effusion,val_Infiltration,test_Infiltration,val_Mass,test_Mass,val_Nodule,test_Nodule,val_Pneumonia,test_Pneumonia,val_Pneumothorax,test_Pneumothorax,val_Consolidation,test_Consolidation,val_Edema,test_Edema,val_Emphysema,test_Emphysema,val_Fibrosis,test_Fibrosis,val_Pleural_Thickening,test_Pleural_Thickening,val_Hernia,test_Hernia
coatnet_2_rw_224.sw_in12k_ft_in1k,0.8291796386340121,"[0.7681620541750345, 0.7920438408940533, 0.8067671025969376, 0.8149519870549133, 0.8157666062379563, 0.8227302632306449, 0.8276469325999326, 0.8327122841012676, 0.833763313061313, 0.8276192406880257, 0.8291796386340121]",0.8365955219429358,/student/csc490_project/shared/training_gamma/training_gamma_0.8/coatnet_2_rw_224.sw_in12k_ft_in1k.pt,0.16397960053120808,"[0.19740139923959485, 0.18580185593658588, 0.1810225691934063, 0.17805736808227451, 0.17528015890696305, 0.17305433670498008, 0.17098315195521205, 0.1691281487090074, 0.16745342383070327, 0.16553395142006438, 0.16397960053120808]","[0.1861134683388437, 0.17964356117556954, 0.17798377523675216, 0.1770541385184367, 0.17485626179692443, 0.17548507681051487, 0.17345815345774904, 0.17222789219623907, 0.17260237194890113, 0.17467513967976842, 0.17389923717480066]",0.7857156197212926,0.7882506493132151,0.8241330790947562,0.8164159289128633,0.9125263383704181,0.9010259572608706,0.8822774282290672,0.8850139270900595,0.7203076623857251,0.7152077676209498,0.8581873391922257,0.8511258364212158,0.7712265412702772,0.7854073444880366,0.7198138877926178,0.7612430770456748,0.8898702341350629,0.8742379353746633,0.7936837913181999,0.8038126573712896,0.8877268221175695,0.9073513728111943,0.9229171221999091,0.9289307010527822,0.7844760290561025,0.8282836436115829,0.7962778275014561,0.8109311739331531,0.8885548571255047,0.8916948568364886
convnext_large.fb_in22k,0.8163073840871748,"[0.8063961412347117, 0.8286662624193684, 0.8307470686518722, 0.823837909095096, 0.8163073840871748]",0.827861782092202,/student/csc490_project/shared/training_gamma/training_gamma_0.8/convnext_large.fb_in22k.pt,0.1388966912842863,"[0.18604051834805224, 0.17280391672535278, 0.16532463200723496, 0.15499827442615013, 0.1388966912842863]","[0.17709189728660465, 0.17356931437673265, 0.1731949175578044, 0.1774658186193339, 0.1849852038525738]",0.7730379675069243,0.7765456711600466,0.8125334440115416,0.8083836234994646,0.8758910572496574,0.8924284511811597,0.8699516435694876,0.8750158156940812,0.6986149700242155,0.7058079624552929,0.8504367610465741,0.8498926881490074,0.7690065926483848,0.7722181791642955,0.7356291227622469,0.7710322506740334,0.8530350925035423,0.8429961804977565,0.7808029286523912,0.7917909741512678,0.8572453378805001,0.8987098674052496,0.9203916099407903,0.9060474520103001,0.7799050475315678,0.8061815649733202,0.7622249215076219,0.8117922202491649,0.9059042644721792,0.9090838301185902
densenet121,0.8179924596765648,"[0.7877782946337696, 0.810792303138101, 0.8126951096157367, 0.8218988907760091, 0.8235369250158269, 0.8241807475566961, 0.8244662620563236, 0.8193713101583565, 0.8179924596765648]",0.8273465210380597,/student/csc490_project/shared/training_gamma/training_gamma_0.8/densenet121.pt,0.15930422423786023,"[0.19526008505192471, 0.18068369134230827, 0.17659417629332805, 0.17317594726668384, 0.1702807699049997, 0.16760254003622424, 0.1649865884000693, 0.16239989578905628, 0.15930422423786023]","[0.1817402335663521, 0.17761883077883098, 0.1781542644684398, 0.17526180144713455, 0.17446393273543392, 0.17422812528161027, 0.17498971494510338, 0.17748725314375532, 0.1786657229991803]",0.7785406963850078,0.7826431933496381,0.8132461614264568,0.8068947316646887,0.8812893487218929,0.8864873395931243,0.8783542947468386,0.8775350278732844,0.7009368762722723,0.7048604464841408,0.8505082402764476,0.8485445196671321,0.7554874159950431,0.7557851246689963,0.7009155759181723,0.7578388761239426,0.862093497204285,0.8497268977712611,0.7911605346730793,0.8005805238395285,0.8802374694855882,0.8995055201776044,0.923974978278257,0.9174060404921219,0.7882731913785134,0.8006770895312878,0.7667432411314268,0.8244838439726309,0.8981253732551902,0.8972286403615151
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,0.8317574492959129,"[0.805926942329125, 0.8171647065191323, 0.8275590347605729, 0.8297960806898451, 0.8318000174733137, 0.8265123456463576, 0.8317574492959129]",0.8406648726293776,/student/csc490_project/shared/training_gamma/training_gamma_0.8/maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k.pt,0.158304334740056,"[0.1904226139960129, 0.17860061004909317, 0.1735255261231971, 0.16993209118386957, 0.16630742838076218, 0.16281769104241356, 0.158304334740056]","[0.1797989392436521, 0.17547536810567646, 0.17271642488167557, 0.173669173198124, 0.17207761073950678, 0.17347774937001684, 0.17336514961450947]",0.7835572964346995,0.7857717581913861,0.8250870719273339,0.8204027408933628,0.8954410607253133,0.8976610407487038,0.8781539536820007,0.8821113355723662,0.7229286191261781,0.7154151219171135,0.8541466314429262,0.858931268219413,0.7735003937821011,0.7871140529405195,0.7285608944780579,0.7820978543822136,0.8843090753531594,0.875192266621327,0.8024783261342401,0.8104167718873276,0.8943474942992845,0.9060919989026125,0.9278730241844996,0.9351380069643589,0.8018856841745035,0.8316208144877081,0.7997265197687139,0.8273388720145632,0.904365693925683,0.8946691856976907
swin_large_patch4_window7_224,0.8121858077241644,"[0.7796857401237028, 0.8120475722977323, 0.8150496321606829, 0.8239934010833566, 0.8232713354428766, 0.824292292102333, 0.8232984862107898, 0.8252583946042659, 0.8179117581530515, 0.8121858077241644]",0.8213195906064648,/student/csc490_project/shared/training_gamma/training_gamma_0.8/swin_large_patch4_window7_224.pt,0.14924476393763492,"[0.19119540245567518, 0.18050709086644456, 0.17621772672935593, 0.17296479926255298, 0.1698738978002069, 0.16658537855704988, 0.16280916503865303, 0.15907459760508766, 0.1545625556994805, 0.14924476393763492]","[0.182901211023374, 0.17705398825332955, 0.17637337877978246, 0.17376750884415193, 0.17338834226477978, 0.17478654947305142, 0.17412795924018462, 0.17615015085699948, 0.17943871353189786, 0.1834695104964424]",0.7734188265073862,0.7719502122676324,0.8138069868438884,0.8052136670218576,0.8768472363303951,0.8882834606120318,0.8774084087016912,0.8749518433266504,0.707022919358131,0.7077559634296045,0.8349267518231301,0.8332844090843348,0.7373409348896129,0.7456115400889138,0.7136484758205465,0.7493262985934948,0.8739503058008485,0.8684074395677631,0.777537399544568,0.7906558414016127,0.8705728967677848,0.8986441833311329,0.9195310117441264,0.9045982203819667,0.7790273714068272,0.8122813515407519,0.7649182400659196,0.8156514920973086,0.8628293502576093,0.8531779363519154
vgg19.tv_in1k,0.8103696353728389,"[0.7352555912352112, 0.7581702619657688, 0.7739534499377044, 0.7898213368722444, 0.7971625195243603, 0.7896193039305206, 0.8014030609347577, 0.7947576758867391, 0.8051101512469979, 0.8040491762446693, 0.8061222579751406, 0.8085304310257229, 0.8076718348653183, 0.8111761958844654, 0.8077524465843476, 0.8103696353728389]",0.8074501270614017,/student/csc490_project/shared/training_gamma/training_gamma_0.8/vgg19.tv_in1k.pt,0.16417380364960044,"[0.20135704656169423, 0.1928186606252339, 0.18757327083134798, 0.18463051482293058, 0.1822812715757305, 0.1799251358887953, 0.17792123528878864, 0.17624379570285478, 0.17492232844763533, 0.1734736029141984, 0.17191383990391, 0.17041280492837352, 0.16901941286566538, 0.16766508034756028, 0.16601326096787805, 0.16417380364960044]","[0.20004129393004574, 0.18832508314855742, 0.18556135557158743, 0.18200704333004217, 0.17983761232151368, 0.18183065571031684, 0.1785360518057809, 0.18353056134980952, 0.1773171738483185, 0.1784589126148413, 0.17758788610267084, 0.17820895991835006, 0.1788089229958132, 0.1759875122549792, 0.17866849313966585, 0.17876976241390113]",0.7779301714032252,0.7817715968775028,0.8077205399168752,0.7961514147388605,0.8866057941051381,0.8787003543897154,0.863770994296733,0.8709170991988352,0.6972107820333839,0.7037319873491583,0.8374983646667019,0.823515407185915,0.7486720999626157,0.7664076438023616,0.7255527431669343,0.7524757447571487,0.8503863971011717,0.8606571723094895,0.7754519090361385,0.7780694480880078,0.865845927859306,0.8843714038788717,0.9152816058553764,0.9110221464661243,0.7627384346378159,0.7837439319623344,0.7586553296679879,0.7885903757165812,0.88222343688318,0.7316261792001226
