,mean_auroc,AUROC_No Finding,AUROC_Atelectasis,AUROC_Cardiomegaly,AUROC_Effusion,AUROC_Infiltration,AUROC_Mass,AUROC_Nodule,AUROC_Pneumonia,AUROC_Pneumothorax,AUROC_Consolidation,AUROC_Edema,AUROC_Emphysema,AUROC_Fibrosis,AUROC_Pleural_Thickening,AUROC_Hernia
maxvit,0.845322076693302,0.7911304538228354,0.8318681323540262,0.8989887151297445,0.8877296141298148,0.7241179848950408,0.865034941785628,0.7883722515824065,0.7690258390554235,0.8841858217432345,0.8159913012138582,0.9098424986727416,0.9380354541789404,0.8315286427367584,0.8379351011772747,0.9060443979217994
densenet,0.8357280039036071,0.7872798419188033,0.8154366729642021,0.9040832683908443,0.884407481419175,0.7190328529885227,0.8583317145023652,0.7663615684543386,0.7695730346778584,0.8744082067538902,0.81226472455887,0.9056229406427582,0.9211380646755492,0.8240020774390305,0.8317579683851266,0.8622196407827718
coatnet,0.8416561889608526,0.7923826872902974,0.8259203976307432,0.9049877440491553,0.8863494594280368,0.7242878086856129,0.8653067957011111,0.7951873403336838,0.7745074243289549,0.8766717621073788,0.8082218239501021,0.9053164305691715,0.9292413051182511,0.8282061547667477,0.822223557277263,0.8860321431762769
swin,0.8317814799763209,0.7846592684030852,0.8191825898973741,0.9021385331084424,0.8862497800722436,0.7176105516604124,0.8511980029980144,0.7647935661898322,0.7842764267594597,0.8734220083848139,0.8088766846542919,0.9100027060153131,0.9188194566369495,0.8128109355209787,0.8213750271022591,0.8213066622413419
convnext,0.8422170819302325,0.7925478665862404,0.8251435053128717,0.9108707774243391,0.8862899174563597,0.7214811488813211,0.8651760410596051,0.7822413494318937,0.7789756351852097,0.8828208301721875,0.8082190779973178,0.9106173179361999,0.9325751424084586,0.8283731247776424,0.8262325735201331,0.8816919208037072
vgg19,0.818283109751667,0.7868413839583981,0.8129370473295496,0.8916538873147529,0.8836959161940153,0.710518872588644,0.8439905741675731,0.7597704114345755,0.7358001407833398,0.8608641354142893,0.7959760513689309,0.8934394578231465,0.9185074301125612,0.7978551272246908,0.7942182103818244,0.788178000178715
